authors,confidence,decision,evidence,exclusion_reason,file_name,reasoning,title
"Mitra Dirin, Amir Dirin, Teemu H. Laine",Medium,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""The initial user study was conducted with 12 nurses and a doctor at two elderly houses in Espoo, Finland. ... Semi-structured interview was selected as a method for eliciting in-depth information about the users’ requirements regarding the application.\"" - [4.1 Data Collection]"", ""A1 User Involvement: \""Prepared scenarios are shared with target users for assessment. This is yet another opportunity for the target users to impact the concept design.\"" - [5.1 Concept development]"", ""A2 Iteration: \""The scenario above is a revised version of an original scenario, based on the users’ feedback collected at a scenario review session.\"" - [5.1 Concept development]"", ""A2 Iteration: \""After we analyzed the prototype evaluation data we slightly modify the categories in order to make some service more visible for faster accessibility.\"" - [6 Prototype Evaluation]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""The initial user study was conducted with 12 nurses and a doctor...\"" (understanding users) - [4.1 Data Collection]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""We applied affinity diagrams and brain storming to compose a list of potential application requirements based on commonly quoted actions.\"" (ideation) - [4.2 Data Analysis]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""a low-fidelity prototype of CANA was developed using the HTML5 and CSS3 technologies.\"" (prototyping) - [6 Prototype Evaluation]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""The prototype was evaluated with five users ... First the participants were given a set of tasks to complete one by one. They were asked to think aloud ... Additionally, a semi-structured interview was conducted after each session\"" (evaluation) - [6 Prototype Evaluation]""], ""TASKS_elements"": [""\""The prototype was not fully functional and it only contained main categories and sub categories for the services. ... We did not collect feedback about the performance and the functionality as the application was a low-fidelity prototype.\"" - [6 Prototype Evaluation] - This shows a designer-facing limitation: using a low-fidelity prototype prevented collection of performance/functionality feedback, limiting designers' ability to evaluate and refine implementation aspects."", ""\""administrative and technical challenges related to gaining access to external systems must be solved in order to implement all requested features.\"" - [7 Conclusion] - This describes constraints (access to external systems) that impede designers' ability to implement full features and thus affected implementation planning (noted as a barrier to proceeding to functional implementation).""]}",,Dirin et al. - 2015 - User Centered Design of a Context Aware Nurse Assistant CANA at Finnish Elderly Houses.txt,"Condition A: satisfied - The study documents active user involvement (interviews, scenario reviews), explicit iteration (scenario revision and prototype modification based on feedback), and all four lifecycle phases (user understanding, ideation, prototyping, and evaluation).; Condition B: satisfied - The authors report concrete designer-facing constraints during the project (use of a low-fidelity prototype that prevented collection of performance/functionality feedback) and note administrative/technical access challenges affecting implementation.; Final rationale: The paper reports a full UCD cycle with participatory methods, iterative refinement, and prototype evaluation (Condition A met). It also contains at least one clear designer-facing constraint encountered during the project that limited design/evaluation activities (Condition B met). Therefore the paper should be included.",User-Centered Design of a Context-Aware Nurse Assistant (CANA) at Finnish Elderly Houses
"Ram A. Dixit, Stephen Hurst, Katharine T. Adams, Christian Boxley, Kristi Lysen-Hendershot, Sonita S. Bennett, Ethan Booker, Raj M. Ratwani",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""End users were engaged openly and continuously for feedback in order to ensure that dashboard design, elements, and functionality met their specific role-based needs.\"" - Dissemination and iterative refinement (Materials and Methods / Results)"", ""A2 Iteration: \""These pairs would create prototype dashboards, starting with a basic layout of data feeds in a development environment then rapidly iterating with end users to ensure the dashboards met their needs.\"" - Visualization design, development, and testing (Materials and Methods)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Our multidisciplinary visualization team used a 5-step process to create and iteratively refine visualization dashboards to support the initial launch and ongoing development of the expansive telehealth program.\"" (steps included gaining domain knowledge, identifying user needs, identifying data sources, designing and developing visualizations, and iteratively refining) - Foundations and overview of 5-step process (Materials and Methods)""], ""TASKS_elements"": [""\""As neither vendor fully supported industry-standard application programming interfaces nor a common data format, data were retrieved from their proprietary data platforms using semi-automated scripts and ingested into structured relational database tables.\"" - Processing telehealth data sources (Materials and Methods) - Shows a designer barrier: lack of vendor APIs and common formats forced the team to implement workarounds, increasing technical burden and constraining integration and development."", ""\""Varying time constraints from each of our stakeholder groups, evolving data structures, and variable reliability of these data feeds required redundant and flexible extraction methods in order to maintain a resilient situation awareness infrastructure.\"" - Processing telehealth data sources (Materials and Methods) - Shows a designer barrier: unreliable and changing data feeds and stakeholder timing forced adaptations in extraction methods, hindering stable iterative development and data availability."", ""\""We also faced several challenges, including interoperability, poor vendor data standards, and challenges accessing real-time data.\"" - Discussion / Limitations - Shows a designer barrier: explicitly identifies interoperability and real-time access problems that limited the team's ability to deliver integrated, timely visualizations and perform certain design activities.""]}",,Dixit et al. - 2020 - Rapid development of visualization dashboards to enhance situation awareness of COVID 19 telehealth.txt,"Condition A: satisfied - The paper documents active user involvement (interviews, needs analysis, continuous feedback), explicit iterative development cycles, and a complete lifecycle covering understanding users, ideation/prototyping, and evaluation via feedback and refinement.; Condition B: satisfied - Multiple explicit statements describe designer-facing constraints (lack of vendor APIs/standards, unreliable and evolving data feeds, interoperability and real-time data access issues) that affected the team's ability to perform design and development tasks.; Final rationale: Both Condition A (full HCD cycle) and Condition B (designer-experienced tasks/constraints) are clearly supported by statements in the Methods, Results, and Discussion/Limitations, so the study meets inclusion criteria.",Rapid development of visualization dashboards to enhance situation awareness of COVID-19 telehealth initiatives at a multihospital healthcare system
Nicola Doering · Sandra Poeschl · Horst-Michael Gross · Andreas Bley · Christian Martin · Hans-Joachim Boehme,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""we followed a user-centered design process for the development of the search engine and the graphical user interface\"" [Section 5 Developmental Stage 1: Article Search System - Introduction/Method]"", ""A2 Iteration: \""A non-experimental cross-sectional formative evaluation study was conducted with three consecutive phases... After every data collection phase, interviews and observation protocols were analyzed and system developers were informed about identified usability problems.\"" [Section 5.1.1 / Section 5.2.1]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""requirements were identified in a user-centered design and development process by discussion with store owners and managers, experiences from test bed evaluations, and surveys of market staff and customers\"" (Understanding) [Section 4.2.1]; \""derived requirements (Sect. 4.2) and the final implementation\"" (Ideation/Design decisions) [Section 4 Introduction]; \""The humanoid shopping robot TOOMAS was developed over the course of several years (from 2005 until 2009).\"" (Prototyping) [Section 4]; \""Three separate empirical field studies address the robot’s usability ... are presented\"" (Evaluation: three formative/summative user studies) [Abstract / Sections 5-7]""], ""TASKS_elements"": [""\""A basal revision of the database would have been very cost and time consuming, due to its complexity (more than 80,000 items). On that account, it could not be put into effect at the time of research.\"" [Section 5.2.1] - Resource limits: designers were prevented by cost/time constraints from fully revising the store product database, limiting their ability to resolve search failures and iterate the system."", ""\""The user study was conducted at a stationary terminal and not with the mobile robot as it was seldom available due to intensive technical system revisions.\"" [Section 5.1.4] - Process/resource constraint: limited robot availability forced evaluations to be run on a stationary terminal rather than the mobile robot, hindering realistic iterative testing."", ""\""one elementary problem was that the robot began to move away when interested customers were moving towards it (11 %, n = 4). The main reason for this problem was the not perfectly working person-tracking function.\"" [Section 6.2.1] - Technical/process issue: imperfect person-tracking directly disrupted intended interaction flows and required developer adaptation."", ""\""Initially, the robot blinked during oral interactions with customers. However, when it was used often, blinking drained the battery very fast, leading to frequent recharging. Therefore, that feature was turned off.\"" [Section 4.3.2] - Technical/design constraint: battery life forced designers to remove a desired interaction feature, altering design decisions."", ""\""some technical problems remained unresolved for economic reasons and affected user experience (e.g. problems with missing or mislabeled products in the article data base provided by the home improvement store chain).\"" [Section 8 General Discussion] - Economic/resource constraint: unresolved technical/economic limitations affected user experience and designers' ability to fully implement planned improvements.""]}",,Doering N. et al. - 2015 - User Centered Design and Evaluation of a Mobile Shopping Robot.txt,"Condition A: satisfied - The paper documents active user involvement (field interviews/observations informing design), explicit iterative formative evaluation across three consecutive phases with implemented revisions, and evidence covering understanding users (requirements gathering), ideation/design decisions, prototyping (TOOMAS platform and GUI prototypes), and multiple evaluations (three empirical field studies).; Condition B: satisfied - The manuscript reports multiple designer-facing constraints (cost/time limits on database revision; limited robot availability preventing mobile tests; person-tracking, orientation, voice and battery issues; unresolved technical problems for economic reasons) that impeded design activities and iteration.; Final rationale: Both Condition A (full HCD cycle) and Condition B (designer-experienced task/constraint evidence) are clearly met based on quoted methodological, results and discussion text; therefore the study should be included.",User-Centered Design and Evaluation of a Mobile Shopping Robot
"Aoife M. Doyle, Emma Mulhern, James Rosen, Gabrielle Appleford, Christina Atchison, Christian Bottomley, James R. Hargreaves, Michelle Weinberger",High,Exclude,"""HCD_fullcycle"": [""Abstract: \""participant observations were key to capturing the depth of the fast-paced, highly-iterative HCD process, and to understand decision-making within the design process.\"" - Abstract"", ""\""The implementers were all involved in the design process.\"" - Adolescents 360 (Rationale/Intervention description)"", ""Process evaluation: \""the process evaluation team needed to be flexible in order to align closely with the work plan of the implementers and methodologies such as direct participant observation were key to capturing the depth of the HCD process.\"" - Process evaluation section""], ""TASKS_elements"": []}",Meta-study analyzing others' design work,Doyle AM - 2019 - Challenges and opportunities in evaluating programmes incorporating human centred design lessons lea.txt,"Step 1 (Meta-study check): Paper documents the external evaluation team's observations and analysis of the implementers' HCD design process (participant observation, aligning with implementers' work plan), indicating the authors analyzed/design processes conducted by others.; Condition A/B: Not assessed further because the paper meets the meta-study exclusion criterion (authors observed/analyzed design processes conducted by implementers rather than reporting a design process they themselves conducted).; Final rationale: According to the meta-study immediate exclusion rule, studies that observe or analyze other teams' design work should be excluded. This paper reports an external evaluation (process evaluation with participant observation) of the implementers' HCD process rather than the authors conducting and reporting their own design process.",Challenges and opportunities in evaluating programmes incorporating human-centred design: lessons learnt from the evaluation of Adolescents 360
Julie Doyle; Emma Murphy; Shane Gavin; Alessandra Pascale; Stéphane Deparis; Pierpaolo Tommasi; Suzanne Smith; Caoimhe Hannigan; Myriam Sillevis Smitt; Cora van Leeuwen; Julia Lastra; Mary Galvin; Patricia McAleer; Lorraine Tompkins; An Jacobs; Marta M Marques; Jaime Medina Maestro; Gordon Boyle; John Dinsmore,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""A notable feature of the ProACT approach to designing and evaluating the platform was that it continually involved people with multimorbidity in a user-centered design process, including interviews, focus groups, co-design workshops, usability testing and evaluation activities, supporting regular, iterative updates to the ProACT platform.\"" - Discussion"", ""A2 Iteration: \""The study was a PoC trial, which used an action research design, to allow for continuous feedback from participants and refinement of the ProACT platform throughout the trial. There were 3 action research cycles (ARCs) and 4 time points (T1-T4) of data collection ... Refinements were made to the ProACT platform based on the feedback from participants at the end of each ARC.\"" - Methods (Study Design)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Understanding users: Interview protocols at time point T1 covered motivations and expectations...\"" - Methods (Data Collection and Analysis); \""Ideation: continually involved people with multimorbidity in a user-centered design process, including... co-design workshops\"" - Discussion; \""Prototyping: ...data collection, semistructured interviews, and usability testing (Figure 13).\"" - Methods (Study Design); \""Evaluation: The participants completed the system usability scale (SUS) at T2, T3, and T4... SUS scores... above the threshold of 68, which indicates that participants considered ProACT to be usable.\"" - Results (Usability and User Burden)""], ""TASKS_elements"": [""\""First, given the resource limitations, the version of the ProACT platform described in this paper and evaluated in the trial did not integrate all of the features required to fully support the self-management of multimorbidity...\"" - Limitations - [Shows a resource limitation that constrained developers from implementing planned features and affected design scope]"", ""\""The triage staff responded to alerts between 9 AM and 5 PM, Monday-Friday (hours were limited because of project budget) and made monthly check-in phone calls.\"" - Methods (Procedures) - [Shows budgetary/resource constraint that limited service hours and thus affected how the designers/services could be delivered during the trial]"", ""\""There were a total of 355 calls to the helpdesk in Ireland over the course of the trial... 121 were for devices not working... 50 related to data syncing issues... 29 involved pairing or connection problems (eg, accidentally turning off Bluetooth).\"" - Results (Potential Facilitators of Engagement) - [Shows technical/process issues with third-party devices that required substantial researcher technical support and likely forced adaptations during the project]"", ""\""Although care was taken to address these issues, for example, by replacing devices and providing further training, the initial experience for these participants resulted in a negative perception of the technology, which led to their disengagement.\"" - Results (Barriers to Engagement) - [Shows designers/researchers had to adapt (device replacement, extra training) due to device usability/reliability problems which impeded engagement and design goals]""]}",,Doyle et al. - 2021 - A Digital Platform to Support Self management of Multiple Chronic Conditions ProACT Findings in Rela.txt,"Condition A: satisfied - Methods, Results, and Discussion document active user involvement (interviews, co-design), explicit iterative action-research cycles with refinements, and evidence of the full lifecycle (user understanding via interviews, ideation via co-design, prototyping/usability testing, and evaluation via a 12-month trial with SUS and interviews).; Condition B: satisfied - Multiple documented designer-facing constraints are present: explicit resource/budget limitations (limiting features and triage hours) and substantial technical/process issues with devices (large helpdesk workload, device failures requiring replacement and extra training) that affected design and delivery.; Final rationale: The paper reports a full HCD cycle (user involvement, iteration, and all lifecycle phases) and explicitly describes designer-facing resource and technical constraints that affected the project; therefore it meets both Condition A and Condition B and should be included.",A Digital Platform to Support Self-management of Multiple Chronic Conditions (ProACT): Findings in Relation to Engagement During a One-Year Proof-of-Concept Trial
K.R. Dufendach; S. Koch; K.M. Unertl; C.U. Lehmann,High,Exclude,"""HCD_fullcycle"": [""A1 User Involvement: Users can express their preferences in the software’s dynamic canvas, where the user interface is built and modified by the user. - Methods (Canvas/Preferences Pane)"", ""A2 Iteration: Following each PD or VandAID session, users provided feedback on the usability of the specific user-centered design method by completing a standardized system usability scale survey. (Sessions are described as single PD sessions or single VandAID submissions with no reported repeated refinement cycles.) - Methods/Results"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): Understanding: Each [PD] session was video recorded and then transcribed for further evaluation. - Methods (PD sessions); Ideation: Participants were given the opportunity to design a neonatal handoff tool using pens, paper, sticky notes, scissors, and other materials. - Methods (PD sessions); Prototyping: The dynamic canvas allows the design team to test different display options by letting the users select the ones that best match their expectations and workflow. - Methods (Canvas); Evaluation: Following each PD or VandAID session, users completed a standardized system usability scale survey and results (SUS scores) are reported. - Methods/Results""], ""TASKS_elements"": []}",Failed Condition A (no explicit iterative refinement cycles reported) and Failed Condition B (no reported designer-facing task constraints).,Dufendach et al. - 2017 - A Randomized Trial Comparing Classical Participatory Design to VandAID an Interactive CrowdSourcing.txt,"Condition A: not satisfied - User involvement (A1) and evidence of lifecycle phases (A3) are present, but explicit iterative refinement cycles (A2) are not reported; the study reports single PD sessions and single VandAID submissions without multiple rounds of feedback-redesign.; Condition B: not satisfied - No clear evidence in Methods, Results, Discussion, or Conclusions that designers experienced resource, access, skill, cognitive, or process constraints that limited or forced adaptation of the design activities; no designer-facing barriers are reported in Limitations or elsewhere.; Final rationale: The paper reports active user involvement and elements of the design lifecycle but lacks documented iterative cycles required by Condition A2 and does not report designer-experienced task constraints required for Condition B, so it must be excluded.","A Randomized Trial Comparing Classical Participatory Design to VandAID, an Interactive Crowdsourcing Platform"
"Jody Ede, David Garry, Graham Barker, Owen Gustafson, Elizabeth King, Hannah Routley, Christopher Biggs, Cherry Lumley, Lyn Bennett, Stephanie Payne, Andrew Ellis, Clinton Green, Nathan Smith, Laura Vincent, Matthew Holdaway, Peter Watkinson",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""All potential users of the proposed ICU environment were invited to participate in the build simulation exercise. Participants were a convenience sample of users of the new ICU unit which included staff, patients, and relatives.\"" - Participant selection (Methods)"", ""A2 Iteration: \""Regular design meetings occurred preceding the ICU build simulation exercise with feedback being used to iterate designs.\"" - Design team (Methods)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""To meet the four HCD principles for this specific project (detailed in the introduction), we developed an ICU build simulation exercise that would specify user requirements (point 1 and 2) and produce design solutions to meet these requirements (point 3). This data would underpin the design process as the build project progressed (point 4).\"" AND \""Build Mapping involved taping out sections of the design and mocking up with equipment.\"" AND \""Participants were asked to undertake some (but not all) of the defined tasks... Participants fed back specifically about i) ease of task completion and ii) identify any barriers to these based on current designs. Facilitators also observed performed tasks and entered observations into field notes.\"" - Human-centred design / Build mapping / Task analysis / Qualitative (Methods)""], ""TASKS_elements"": [""\""Given space constraints we were unable to map out entire ICU levels, so we prioritised areas of concern/predictable high activity such as tight corners or lifts.\"" - Build mapping (Methods) - This shows a resource/space constraint that limited designers' ability to prototype the full environment and forced prioritisation."", ""\""Not all pre-defined tasks were completed during the exercise.\"" - Task analysis (Methods) - This indicates limitations in the exercise (time/setting/participant availability) that prevented designers from evaluating all planned tasks, constraining the design evaluation."", ""\""Firstly, not all the ICU building was tested as described in the methods. This was limited by event facilities, but we endeavoured to test problematic areas.\"" - Limitations - This explicitly states event-facility limitations that affected the designers' ability to perform design activities across the whole build.""]}",,Ede et al. - 2023 - Building a Covid 19 secure intensive care unit A human centred design approach.txt,"Condition A: satisfied - Clear user involvement (co-design simulation with staff, patients, relatives), explicit mention of iteration ('feedback being used to iterate designs'), and documented evidence of the four HCD phases (understanding via task analysis/observations, ideation via generated design suggestions, prototyping via build mapping mock-ups, and evaluation via participant feedback and facilitator observations).; Condition B: satisfied - Multiple statements describe constraints experienced by the design team (space/event facility limitations preventing full mapping/testing and incomplete task execution), which influenced how the design activities were conducted.; Final rationale: The paper reports an author-led HCD process including active user involvement, iterative feedback informing design changes, full-cycle HCD activities (understand/ideate/prototype/evaluate), and explicit designer-facing constraints that affected the conduct of design activities; therefore it meets inclusion criteria.",Building a Covid-19 secure intensive care unit: A human-centred design approach
"Ekstedt, M.; Kirsebom, M.; Lindqvist, G.; Kneck, Å.; Frykholm, O.; Flink, M.; Wannheden, C.",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""users were involved throughout the design and development process\"" - [Methods: 2.3 Overview of the User-Centered Design Process]"", ""A2 Iteration: \""The design process lasted from January 2016 to December 2017 and involved iteration between the three phases until user needs had been adequately explored, described, and addressed.\"" - [Methods: 2.3 Overview of the User-Centered Design Process]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""One researcher (Å.K.) performed five days of observations at a heart failure day care clinic ... and performed interviews with registered nurses (n = 4), patients (n = 8), and family caregivers (n = 2).\"" (Understanding) / \""design sketches and mockups were developed by an interaction designer in the research group (O.F.) and discussed with the design team in the monthly meetings.\"" (Ideation) / \""Once satisfaction was reached on the low-fi prototypes, a web application was developed.\"" (Prototyping) / \""All district nurses from the design team were encouraged to use the eHealth service and introduce it to a convenience sample of patients who were willing to participate in a six-week feasibility test. ... We performed follow-up interviews with the patients and district nurses who participated.\"" (Evaluation) - [Methods: 2.5.1; 2.6.2; 2.6.2; 2.7.1]""], ""TASKS_elements"": [""\""only a small number of participants could be recruited for testing the service in a clinical setting.\"" - [Discussion: 4. Discussion] - [Why it shows a designer barrier: Recruitment shortfall limited the designers' ability to evaluate and iterate the system in practice, a resource/participant access constraint affecting design activities]"", ""\""The feasibility test proved challenging, which is reflected in the low number of participants. Only two of the district nurses from the design team participated. The other three were not available for participation due to changes in staffing.\"" - [Discussion: 4.1 User-Centered Design Process] - [Why it shows a designer barrier: Staffing changes among clinician-design collaborators reduced available personnel and prevented planned testing and iterative cycles]"", ""\""it coincided with other development projects, re-organization, and staff leave at the integrated care organization that was the setting for the study. Due to down-prioritization of our project, the process from initial conceptualization of the project to feasibility testing became too long drawn out for the participants to get a return on their investment of time and effort.\"" - [Discussion: 4.2 Methodological Considerations] - [Why it shows a designer barrier: Organizational re-prioritization and staffing leave delayed testing and diminished designers' capacity to carry out planned implementation and iterative refinement (resource/organizational constraint)]"", ""\""nurses did not feel sufficiently confident in introducing the tool to their patients, possibly due to insufficient training.\"" - [Discussion: 4.1 User-Centered Design Process] - [Why it shows a designer barrier: Skill/training gaps among implementers hindered deployment and designers had to account for additional training or change implementation approach]""]}",,Ekstedt et al. - 2022 - Design and Development of an eHealth Service for Collaborative Self Management among Older Adults wi.txt,"Condition A: satisfied - The manuscript documents active user involvement across phases, explicit iterative cycles over a two-year period, and all four lifecycle activities (understanding via observations/interviews, ideation through sketches and design meetings, prototyping of web and mobile apps, and evaluation via a feasibility test).; Condition B: satisfied - The authors report concrete constraints experienced during the project (limited participant recruitment, staff unavailability and re-organization, down-prioritization, and insufficient confidence/training among nurses) that affected the designers' ability to perform testing and iteration.; Final rationale: Both Condition A (full HCD cycle) and Condition B (designer-facing task/constraint evidence) are met based on Methods, Results, Discussion, and Limitations content; therefore the study should be included.",Design and Development of an eHealth Service for Collaborative Self-Management among Older Adults with Chronic Diseases: A Theory-Driven User-Centered Approach
"Anthony Faiola, Haleh Vatani, Kate Greenhill, Manjula Bhuma, Mangilal Agarwal",High,Exclude,"""HCD_fullcycle"": [""A1 User Involvement: \""Twelve Type 1 and 2 diabetics were interviewed to deduce user requirements and to understand their perception and level of interest in the proposed mobile system.\"" - Abstract / Design Iteration—Phase 1"", ""A1 User Involvement: \""Participants received eight open-ended interviews and 13 multiple-choice survey questions. At the conclusion of the questionnaire, participants were shown the first iteration of the mobile app interface designs, with follow-up questions related to benefits, functionality, and overall appeal.\"" - Method—User Requirements and Design Testing"", ""A2 Iteration: \""This paper presents the first two (prototype) design iterations of research and testing of HYPOalert.\"" - Abstract"", ""A2 Iteration: \""Design Iteration—Phase 1\"" and \""DESIGN ITERATION—PHASE 2\"" (section headings describing first and second iterations) - Design Iteration sections"", ""A3 Lifecycle: Understanding: \""we performed a user requirements study—focusing on understanding user needs through questionnaire, semi-structured interviews\"" - Design Iteration—Phase 1"", ""A3 Lifecycle: Ideation: \""Based on a preliminary review of existing diabetes products and mobile applications, we developed a series of exploratory static/rapid interfaces for inspection by diabetes patients.\"" - Design Iteration Process"", ""A3 Lifecycle: Prototyping: \""Figure 2 illustrates the first conceptual iteration of HYPOalert...\"" and \""Findings from the first iteration and the review... informed our design of the interactive prototype (Figure 3) of phase two.\"" - Design Iteration sections"", ""A3 Lifecycle: Evaluation: \""At the conclusion of the questionnaire, participants were shown the first iteration of the mobile app interface designs, with follow-up questions related to benefits, functionality, and overall appeal.\"" and \""Findings provided design requirements and the users’ overall perception and interest in a breath smart sensor app for supporting HYPO monitoring.\"" - Method—User Requirements and Design Testing / Findings""], ""TASKS_elements"": []}","Condition B not satisfied - no evidence of designer-facing difficulties, constraints, or barriers reported in Methods/Results/Discussion/Limitations.",Faiola et al. - 2018 - HYPOalert Designing Mobile Technology for Hypoglycemic Detection and Monitoring Based on Human Breat.txt,"Condition A: satisfied - The paper documents active user involvement (interviews, questionnaires, prototype review), explicit multiple design iterations (first and second iterations), and evidence of the four lifecycle phases (user understanding, ideation, prototyping, and evaluation of the first iteration).; Condition B: not satisfied - The manuscript contains no explicit descriptions of difficulties, constraints, or barriers experienced by the designers (e.g., recruitment problems that impeded design, resource/time limits that forced changes, participant drop-outs affecting iteration).; Final rationale: Although the study meets the full HCD cycle criteria (Condition A), it fails Condition B because there is no reported evidence of designer-facing tasks, constraints, or barriers during the project. Per decision rules, both conditions are required for inclusion.",HYPOalert: Designing Mobile Technology for Hypoglycemic Detection and Monitoring—Based on Human Breath
"Ibidun Fakoya, Claire Cole, Chris Larkin, Melanie Punton, Eleanor Brown, Ahna Ballonoff Suleiman",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""Teams collected data using a range of qualitative research methods (e.g., observations, promoted discussions, photo narratives, card sort, and in-depth interviews). During formative research, youth designers acted as note-takers, interpreters, and interviewers.\"" - Inquiry (Methods)"", ""A2 Iteration: \""These findings were iteratively incorporated into recruitment strategies. The youth-adult teams analyzed iteratively in the field using simple tools (post-its and flip charts). Team members described and reflected on interviews and observations, highlighting extreme cases and identifying emerging themes.\"" - Inquiry / Methods"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""A360 consisted of four phases: (1) Inquiry: youth-engaged formative research...; (2) Insight synthesis: collaborative analysis across expertise to generate themes to inform design; (3) Prototyping: quickly developing and testing rudimentary versions of solutions...; and (4) Adaptive implementation: ongoing inquiry and refinement, critical reflection, and iterative evaluation of solutions.\"" - Adolescents 360 (Methods)""], ""TASKS_elements"": [""\""building the skills and capacity of youth designers and adult partners was costly, both financially and in terms of staff time and skill.\"" - Implications for practice / Form Transdisciplinary Teams - This indicates resource limits (financial and staff-time) that affected designers' ability to sustain youth engagement and perform design activities."", ""\""Initially, 6 months were allocated testing tangible solutions. However, delays during the design research phases shortened this phase to just 6 weeks per county. This duration was inadequate to rigorously test the solutions in real-world settings and feed data and learning back into the solutions to course correct.\"" - Table 2 / Create tangible products or services - This is a time/resource constraint that prevented designers from conducting adequate real-world testing and iterative refinement."", ""\""Embedding youth designers enhanced the validity of the analysis and interpretation of data; however, resources were limited for youth engagement, and consequently, in-country teams found it challenging to recruit and retain a sustained cohort of young people.\"" - Table 1 / Form Transdisciplinary Teams - This documents recruitment/retention difficulties that limited designers' staffing and continuity."", ""\""In the context of low- and middle-income countries, recruiting and working with extreme users was frequently challenging due to security, logistical concerns, and the political context.\"" - Table 2 / Recruit and work with extreme users - This shows participant access constraints that hindered designers' ability to engage certain user groups as partners."", ""\""teams (particularly those who were new to design) struggled to synthesize insights using the rapid and iterative methods usual to design research.\"" - Table 2 / Cultivate greater empathy - This describes skill/knowledge gaps and process difficulties experienced by designers during analysis/iteration.""]}",,Fakoya et al. - 2022 - Enhancing Human Centered Design With Youth Led Participatory Action Research Approaches for Adolesce.txt,"Condition A: satisfied - The paper documents active user/stakeholder involvement (youth designers engaged in data collection, analysis, and design), explicit iterative refinement cycles (iterative analysis, prototyping, and adaptive implementation), and a complete lifecycle covering inquiry (formative research), ideation/insight synthesis, prototyping (73 prototypes across countries), and evaluation/adaptive implementation (pilots and independent process evaluation).; Condition B: satisfied - The paper reports multiple designer-facing constraints: financial and staff-time resource limits for youth engagement, shortened testing timelines that impeded rigorous real-world testing, recruitment and retention challenges for youth designers and extreme users, and skill/process difficulties synthesizing rapid design research—each of which affected designers' ability to carry out design activities.; Final rationale: Both Condition A (full HCD cycle with active user involvement and iteration) and Condition B (documented designer-facing tasks/constraints) are met in the Methods/Results/Discussion/Limitations content provided, so the study should be included.",Enhancing Human-Centered Design With Youth-Led Participatory Action Research Approaches for Adolescent Sexual and Reproductive Health Programming
