authors,confidence,decision,evidence,exclusion_reason,file_name,reasoning,title
Aanand D. Naik; Lilian N. Dindo; Julia R. Van Liew; Natalie E. Hundt; Lauren Vo; Kizzy Hernandez-Bigos; Jessica Esterson; Mary Geda; Jonathan Rosen; Caroline S. Blaum; Mary E. Tinetti,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""The investigators developed the core concepts (ideate) through a synthesis of prior literature and input from advisory panels consisting of 6 patients or caregivers; 7 primary care providers (PCPs); 8 specialty clinicians; 3 payers; 5 health system leaders; 5 patient, caregiver, and clinician organization representatives; 3 health informatics technology experts; and 2 redesign experts. From January 2014 to June 2015, advisory panels convened 39 times to identify modifiable contributors to fragmented, burdensome care and determine core elements for building a feasible, sustainable approach...\"" [Methods - Development of a Values-Based Patient Priorities Identification Process]"", ""A2 Iteration: \""A user-centered design framework (ideate ! prototype ! test !redesign) was adapted to develop the patient priorities identification process... Modifications to the identification process and accompanying manuals were based on input from facilitators’ initial experiences with patients and every-other-week teleconferences with the development team from October 2016 to July 2017.\"" [Methods - Development/Reﬁnement]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""...developed the core concepts (ideate) through a synthesis of prior literature and input from advisory panels...\"" (Understanding/Ideation) [Methods]; \""Facilitators prepared for training by reviewing the facilitator manual. Training began with a face-to-face session in which facilitators practiced the process with a member of the development team and then with a standardized patient. Facilitators then tested the process with 10 patients, during which time they observed each other and gave feedback.\"" (Prototyping) [Methods - Training of Priority Facilitators]; \""We conducted an open, single-arm feasibility assessment of the revised patient priorities identification process from October 1, 2016, to July 31, 2017... Of the 69 eligible patients, 64 (93%) agreed to identify their health priorities; ... All 64 participants completed the process... Total time to complete the 4 steps outlined in Table 1 was 35 to 45 minutes... Qualitative analyses were used to elucidate the characteristics and training needed for the patient priorities facilitators, as well as perceived benefits and challenges of the process.\"" (Evaluation) [Methods/Results - Feasibility Testing/Results]""], ""TASKS_elements"": [""\""Between October 1, 2017, and July 31, 2017, 119 persons were offered patient priorities identification. Of these, 69 were contacted to complete a baseline interview for the patient priorities care project. The remaining 50 individuals had returned to their PCP before we were able to contact them, precluding our ability to obtain their baseline interview.\"" [Methods - Patient Participants] - This shows a participant access/recruitment issue that limited the team's ability to collect baseline data (designer-facing barrier to conducting the study)."", ""\""Facilitators described the process as time intensive but rewarding... 'The first session really allows for rapport building, comfort for the patient ...'\"" [Results - Facilitator Input] - This indicates a resource/time constraint experienced by facilitators (designers) requiring adaptation and streamlining of the process."", ""\""Facilitators recommended having prior experience with motivational interviewing and an understanding of the complexities of patients’ lives and health care...\"" [Results - Facilitator Themes] - This denotes a skill/knowledge gap requirement for facilitators (designer/frontline implementer capability constraint)."", ""\""'It's more now the challenge of what happens between clinicians and patients, because it's very easy [for a facilitator] to upload the note [to the electronic health record]. For the most part, [clinicians are] really receptive to trying it, but I think that they get caught up in how much time it takes. I think that they're pretty good about hearing it, but how they’re able to do it is sometimes tougher.'\"" [Results - Facilitator Themes/Table 4] - This reflects process/coordination constraints and clinician uptake issues that limit the facilitator/development team's ability to achieve intended integration into clinical decision-making."", ""\""The availability of healthcare team members to facilitate the process is an impediment for health systems with fewer resources.\"" [Discussion - Limitations] - This is an explicit resource limitation affecting designers'/implementers' ability to carry out the process in some settings.""]}",,Naik A.D. et al. - 2018 - Development of a Clinically Feasible Process for Identifying Individual Health Priorities.txt,"Condition A: satisfied - The study documents active user involvement via advisory panels and patient advocates (A1), explicit iterative cycles using a user-centered design framework and repeated refinements informed by facilitator feedback (A2), and evidence of the full lifecycle: understanding users (advisory input), ideation (development of core concepts), prototyping (training, standardized patient, pilot testing), and evaluation (open single-arm feasibility testing with 64 participants) (A3).; Condition B: satisfied - Multiple designer-facing constraints are reported: participant access/recruitment barriers that prevented baseline interviews, facilitators reporting the process is time-intensive (resource constraint), need for specific facilitation skills (motivational interviewing), coordination/uptake issues with clinicians, and limited availability of staff to serve as facilitators in resource-poor settings.; Final rationale: Because the paper reports a full HCD cycle with substantive user involvement, iterative refinement, and all four lifecycle phases, and also documents several concrete constraints experienced by facilitators and the development/implementation team that affected design and implementation, it meets both Condition A and Condition B and should be included.",Development of a Clinically Feasible Process for Identifying Individual Health Priorities
"Aanand D Naik, Molly J Horstman, Linda T Li, Michael K Paasche-Orlow, Bryan Campbell, Whitney L Mills, Levi I Herman, Daniel A Anaya, Barbara W Trautner, David H Berger",High,Exclude,"""HCD_fullcycle"": [""A1 User Involvement: \""Patients were recruited for cognitive interviews to determine usability during their first postoperative clinic appointment... Patients were asked to read over and review the warning signs and symptoms at home... Interviews continued until thematic saturation was achieved... Patients further suggested edits to the design, readability, and formatting of certain pages.\"" - Methods/Results"", ""A2 Iteration: \""A multiphase, user-centered design process was used to design and test the discharge warnings prototype... iteratively revise the warning signs and symptoms tool... Subsequent revisions to the content of the discharge warnings, in consultation with our health literacy expert, reduced the required reading level to ≤8th grade... The human factors expert integrated the consensus findings of the heuristics evaluation into a revised version of the discharge warnings lexicon page.\"" - Methods/Results"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""A design thinking approach was used to synthesize ! ideate ! prototype and then iteratively revise the warning signs and symptoms tool... Data synthesis moved to concept ideation using a Delphi expert panel... The current study begins from this initial prototype and moves through testing and prototype revisions... a human factors psychologist conducted an initial heuristics review... usability testing demonstrated comprehension of this 3-level lexicon and recognition of appropriate patient actions to take for each level.\"" - Methods/Results/Abstract""], ""TASKS_elements"": []}",No evidence reported of designer-experienced difficulties or constraints affecting the design process,Naik et al. - 2017 - User centered design of discharge warnings tool for colorectal surgery patients.txt,"Condition A: satisfied - The paper documents user involvement (patient cognitive interviews with edits), explicit iterative refinements (health literacy and heuristics-driven revisions), and evidence of ideation, prototyping, and evaluation stages.; Condition B: not satisfied - The manuscript contains no clear statements that designers experienced constraints or difficulties (e.g., recruitment problems, resource limits, access issues, cognitive/emotional strain, skill gaps, or process/technical barriers) that affected the conduct of design activities.; Final rationale: Although the study meets the full HCD cycle criteria (Condition A), it does not provide any evidence of designer-facing task constraints or barriers (Condition B), so it is excluded per the review decision rules.",User-centered design of discharge warnings tool for colorectal surgery patients
Scott D. Nelson; Guilherme Del Fiol; Haley Hanseler; Barbara Insley Crouch; Mollie R. Cummins,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""we used rapid prototyping in iterative cycles that included feedback from target users on an interactive prototype of the proposed HIE software.\"" - [Methods]"", ""A2 Iteration: \""we used rapid prototyping in iterative cycles\"" and \""At the end of several more iterations, we conducted a formal scenario-based usability assessment\"" - [Methods / Results]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Previously, we elicited user requirements for HIE via rigorous user interviews and analysis of PCC call recordings [4].\"" (Understanding) \""Using the list of requirements, we designed low-fidelity sketches by drawing ideas and designs out on paper with iterative refinement by the authors to define dashboard functionality.\"" (Ideation) \""we continued with iterative designs of an interactive high-fidelity prototype using the web-based interactive prototyping software HotGloo\"" (Prototyping) \""we conducted a formal scenario-based usability assessment ... SPIs were asked to think aloud ... Sessions were recorded ... After the session, the SPI filled out an online post-session interview using the System Usability Scale (SUS).\"" (Evaluation) - [Methods / Results]""], ""TASKS_elements"": [""\""Challenges included 1) time and effort to develop the prototypes and case scenarios;\"" - [Summary / 5.2 Challenges] - Why it shows a designer barrier: explicit resource/time burden on the design team that constrained the design process and required effort investment by designers."", ""\""missing needed data elements in the PCC information system.\"" - [Summary / 5.2 Challenges] - Why it shows a designer barrier: lack of required data elements in source systems prevented designers from delivering all proposed functionality and constrained design decisions."", ""\""First, we had a limited sample size of 3 participants in the case-based usability testing.\"" - [5.3 Study limitations] - Why it shows a designer barrier: limited participant feedback reduced designers' ability to gather diverse usability data, constraining iterative refinement."", ""\""the prototype appears to be a final product, which does not show system performance and some of the complex functions may not be feasible in the final product. Required changes from the prototype to the final product could affect usability or user satisfaction\"" - [5.2 Challenges] - Why it shows a designer barrier: mismatch between prototype capabilities and implementable functionality forced designers to account for technical feasibility and potential rework.""]}",,Nelson et al. - 2016 - Software prototyping A case report of refining user requirements for a health information exchange d.txt,"Condition A: satisfied - Clear evidence of active user involvement, explicit iterative refinement cycles, and documented activities covering understanding users, ideation, prototyping, and evaluation.; Condition B: satisfied - Multiple described constraints experienced by the design team (time/effort, missing data elements, limited participant sample, prototype-to-product feasibility) that impacted design activities.; Final rationale: The paper reports a full user-centered HCD cycle (user requirements elicitation, ideation, low- and high-fidelity prototyping, and usability evaluation) and documents concrete designer-facing challenges and constraints that affected the design process; therefore it meets both Condition A and Condition B and should be included.",Software prototyping: A case report of refining user requirements for a health information exchange dashboard
Cassidy; Nelson; Joseph; Gabbard; Dyason; Morats; Runananda; Mehwad,Medium,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""To create $5776 our design team coordinated with an emergency response subject matter expert (SME) ... we then leveraged additional subject matter experts and iteratively prototyped and evaluated these solutions at each step putting human needs before ...\"" - Design / Methods sections"", ""A2 Iteration: \""we then iteratively prototyped and evaluated these solutions at each step\"" - Design / Methods (multiple places describing iterative prototyping and evaluation)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Our primary SME provided insight ... we leveraged additional subject matter experts ... created wireframes ... and conducted a user evaluation of the triage tag's user interface and usability with HCPs\"" - Methods / Evaluation sections""], ""TASKS_elements"": [""\""since the data contained on each tag cannot currently be aggregated or 'rolled up' to a central server for comparative analyses and summarized data views of the overall response, or provide a physical space to manually denote additional prioritization.\"" - Limitations section - This is a technical/system limitation that constrained the designers' ability to support aggregated views and thus limited design functionality and iteration options."", ""\""our limited primary sample size of only one region\"" - Limitations section - Limited participant sampling constrained the diversity of user input available to the design team, reducing designers' ability to generalize findings and iterate across varied contexts."", ""\""all participants were first-time exposures; only a single session of using the triage tag\"" - Limitations / Methods - Single-session exposure limited longitudinal or repeated-feedback iterations from participants, constraining the designers' ability to observe learning/usage over time and refine the design accordingly.""]}",,Nelson et al. - 2022 - User Centered Design and Evaluation of ARTTS an Augmented Reality Triage Tool Suite for Mass Casualt.txt,"Condition A: satisfied - The paper documents active user/stakeholder involvement via subject matter experts and healthcare participants, explicit iterative prototyping, and evidence of the full lifecycle (user understanding via SMEs and participant studies, ideation/design activities, wireframes/prototypes, and user evaluation).; Condition B: satisfied - The paper reports designer-facing constraints (technical limitation preventing aggregation of tag data), sampling and participant-exposure limitations (single-region, single-session) that affected the design and evaluation process.; Final rationale: The manuscript reports an explicit user-centered, iterative design process covering understanding, ideation, prototyping, and evaluation, and it documents concrete designer-facing constraints that impacted design decisions and evaluation. Therefore it meets both Condition A (full HCD cycle) and Condition B (designer-oriented task elements) and is included.",Triage Tool Suite for Mass Casualty Incidents
Amanda Newton; Alexa Bagnell; Rhonda Rosychuk; Janelle Duguay; Lori Wozney; Anna Huguet; Joanna Henderson; Janet Curran,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""In phase 1, the MindClimb app was designed and developed in consultation with youth and CBT-trained clinicians.\"" - Methods: Study Overview / Phase 1"", ""A2 Iteration: \""We used a mixed-method approach in 2 iterative testing cycles to refine the high-fidelity MindClimb prototype.\"" and \""we reviewed the findings from cycle 1 after the session to allow the developer to make necessary modifications to MindClimb prior to cycle 2.\"" - Methods: Phase 2"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""App development began with wireframing... The predesign prototype was shared with NYAC members and CBT clinicians during separate 1-hour brainstorming sessions... We transcribed the recorded sessions and thematically analyzed the discussions... and used the themes and verbal ratings to finalize the programming on an iOS version of the MindClimb app that was fully functional (a high-fidelity prototype).\"" plus Phase 2 and Phase 3 evaluations (think-aloud testing, SUS, heuristic evaluation, and in-treatment usability assessment) - Methods: Phase 1, Phase 2, Phase 3""], ""TASKS_elements"": [""\""Feedback on the low-fidelity prototype was collected in June 2016 from 4 adolescents receiving outpatient CBT. We were unable to recruit our intended minimum of 7 participants.\"" - Results: Phase 1 - This documents participant recruitment shortfall that limited designer access to intended user feedback and affected the design-testing sample."", ""\""We were unable to recruit our intended sample size for phase 3 of the project... Recruitment was challenging, as there were not as many CBT groups offered for anxiety during the study period due to a decrease CBT clinician availability.\"" - Limitations / Results: Phase 3 - This describes limited clinician availability and fewer CBT groups that constrained the team's ability to implement and evaluate the app in the planned clinical settings, a resource/participant access barrier experienced by designers."", ""\""The app sometimes takes a long time (~20secs) to move from the splash screen to the home screen on iPhone 5S\"" - Table 3: Heuristic evaluation (Developer comment) - This is a technical/process issue identified by evaluators during development that the design team noted and corrected, showing a process/technical barrier encountered during design refinement.""]}",,Newton A - 2020 - A Mobile Phone Based App for Use During Cognitive Behavioral Therapy for Adolescents With Anxiety Mi.txt,"Condition A: satisfied - The study documents active user involvement (consultations, focus groups, think-aloud sessions, in-treatment use), explicit iterative cycles with modifications between cycles, and evidence of the full HCD lifecycle (understanding users via consultations, ideation/wireframing, prototyping at low- and high-fidelity, and multiple forms of evaluation including SUS, heuristic, and in-treatment usability).; Condition B: satisfied - The paper reports designer-facing constraints, notably inability to recruit intended participant numbers and reduced clinician availability limiting phase 3 implementation, and a technical usability issue (load time) identified and addressed, all of which impacted the designers' ability to conduct planned design and evaluation activities.; Final rationale: Both the full HCD cycle and at least one designer-experienced task/constraint are clearly documented in the Methods, Results, and Limitations, meeting inclusion criteria.",A Mobile Phone–Based App for Use During Cognitive Behavioral Therapy for Adolescents With Anxiety (MindClimb): User-Centered Design and Usability Study
"Khoa A. Nguyen, Himalaya Patel, David A. Haggstrom, Alan J. Zillich, Thomas F. Imperiale, Alissa L. Russ",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""In Phase I, we conducted qualitative interviews to assess the information needs of physicians to develop interface design requirements for PGx-CDS for TPMT.\"" + Methods (Study design and setting; Phase I: qualitative interview)"", ""A2 Iteration: \""we used an iterative method to test our prototype because our goals were to develop and rapidly refine a provider-centered PGx-CDS to help providers with their thiopurine prescribing decisions. Specifically, any usability errors identified during testing were used to enhance the design of the PGx-CDS prototype.\"" + Methods (Phase II: prototype development and usability testing)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Participants were interviewed... Interview transcripts were analyzed... to develop design requirements for a PGx-CDS user interface.\""; \""Data from qualitative interviews and available literature were used to inform the development of an electronic prototype of the PGx-CDS in a mock EHR... We created a list of key features to design a PGx-CDS for TPMT using both collected interview data and human factors principles.\""; \""Axure RP 7... was used to design the mock-up EHR as well as the prototype\""; \""we evaluated both the display and the content of the PGx-CDS prototype via usability testing.\"" + Methods (Phase I and Phase II)""], ""TASKS_elements"": [""\""Finally, we only recruited seven participants for usability evaluation. The small sample size limited the number of usability findings.\"" - Limitations - This shows a designer barrier because the small sample size limited the designers' ability to identify and remedy usability issues and constrained evidence available for iterative redesign."", ""\""First, it is possible that our sample is affected by selection bias since we did not randomly select participants. Providers who were more interested in PGx-CDS may have been more willing to participate in the interview and usability evaluation than those not interested in PGx-CDS. This bias may have contributed to our positive findings for satisfaction with the PGx-CDS.\"" - Limitations - This indicates a constraint experienced by designers because biased participant sampling reduced the diversity and representativeness of feedback used to shape the design.""]}",,Nguyen et al. - 2019 - Utilizing a user centered approach to develop and assess pharmacogenomic clinical decision support f.txt,"Condition A: satisfied - The study documents active user involvement (Phase I interviews informing design), explicit iterative refinement during usability testing, and evidence of all four lifecycle phases (understanding via interviews, ideation/design requirements, prototyping with Axure, and evaluation via usability testing).; Condition B: satisfied - Limitations explicitly report recruitment of only seven usability participants and selection bias, which constrained the number and diversity of usability findings and therefore affected designers' ability to perform comprehensive iterative design activities.; Final rationale: Both the full HCD cycle and at least one designer-experienced constraint are evidenced in the Methods and Limitations, meeting inclusion criteria.",Utilizing a user-centered approach to develop and assess pharmacogenomic clinical decision support for thiopurine methyltransferase
"Thinh Hoang Nguyen, Priscila Pereira Cunha, Annabelle Friedman Rowland, Evan Orenstein, Tricia Lee, Swaminathan Kandaswamy",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: [\""Formative usability testing with the residents provided qualitative data that led to improvements in the build for both the 4-month and 6-month WCC note templates.\"" - Results / Formative Usability Testing]"", ""A2 Iteration: [\""Based on feedback, we iteratively improved design between participants before summative usability testing.\"" - Methods / Formative Usability Testing]"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): [\""We developed an initial prototype of the CDS tool after brainstorming with the CDS team and clinical stakeholders.\"" - Methods / CDS Development; \""This CDS tool was built as a collection of automated prompts within the well-child check (WCC) note... in a test electronic health record (EHR) environment.\"" - Methods / CDS Development; \""We adopted a think aloud protocol and conducted formative usability testing to iteratively redesign our CDS tool...\"" - Methods / Formative Usability Testing; \""Formative and summative usability testing were completed with pediatric residents in a simulated electronic health record (EHR).\"" - Abstract / Methods]""], ""TASKS_elements"": [""[\""Complete adoption was not achieved. This was likely due to differences in provider workflows. Specifically, some providers completed the documentation at the desk away from the family after speaking with the parent, while others completed the documentation while speaking with the family. During summative testing, providers who followed the former workflow did not see the CDS tool in the simulation and therefore did not use it.\"" - Discussion] - [Why it shows a designer barrier: workflow variation prevented the CDS from being seen/used in testing, limiting designers' ability to achieve adoption and forcing design reconsideration (process/implementation constraint experienced by the design team)]"", ""[\""we did not go through the whole visit in simulation. This may have biased conversation about peanut introduction.\"" - Limitations] - [Why it shows a designer barrier: the incomplete simulation limited the designers' ability to fully evaluate the tool in realistic visits, potentially biasing assessment and constraining evaluation activities]""]}",,Nguyen et al. - 2023 - User Centered Design and Evaluation of Clinical Decision Support to Improve Early Peanut Introductio.txt,"Condition A: satisfied - Clear user involvement (formative think-aloud sessions with residents), explicit iterative refinement between participants, and evidence of all lifecycle phases (brainstorming/ideation, prototype build, formative and summative evaluation).; Condition B: satisfied - Designers reported concrete implementation/process barriers (provider workflow differences causing the tool to be missed in testing) and a limitation in the simulation protocol that affected evaluation, both of which affected the design team's ability to perform and assess design activities.; Final rationale: The paper reports a full HCD cycle with active user involvement and iteration, and documents designer-facing constraints that impacted implementation/testing; therefore it meets both Condition A and Condition B and should be included.",User-Centered Design and Evaluation of Clinical Decision Support to Improve Early Peanut Introduction: Formative Study
Jacinda M Nicklas; Jenn A Leiferman; Steven Lockhart; Kristen M Daly; Sheana S Bull; Linda A Barbour,High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""We conducted three 4-week beta-testing pilots with unique participants. The participants used the Fit After Baby app for 4 weeks, received support from the lifestyle coach, and provided ongoing feedback.\"" - Methods (Pilot Testing)"", ""A2 Iteration: \""We refined the content and delivery of the mHealth Fit After Baby program over three rounds of beta-testing through an iterative design process, and then we developed a final version of the program.\"" - Methods (Iterative Feedback and Design Process) / Results: \""Feedback from each pilot cohort informed changes to the functionality and content of the app, and then a subsequent pilot group participated in the program. We optimized the program in response to feedback through three iterations leading to a final version.\"" - Results"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""We developed the mHealth Fit After Baby program using evidence-based strategies... guided by the Integrated Theory of mHealth... and engagement strategies from design-thinking, user-centered design...\"" (Ideation/Design) - Methods (Development); \""We held two in-person group structured interviews lasting 90 min after all three rounds were completed. Participants from each round were included. Group interviews were digitally recorded and transcribed verbatim.\"" (Understanding users) - Methods (Feedback and Iterative Design); \""We conducted three 4-week beta-testing pilots with unique participants...\"" (Prototyping) - Methods (Pilot Testing); \""After each round, we analyzed feedback using content analysis, and changes were made to the mobile app and program before conducting subsequent rounds.\"" (Evaluation leading to redesign) - Methods (Feedback and Iterative Design)""], ""TASKS_elements"": [""\""Although we attempted to conduct 2 in-person focus groups, we had several women who were unable to attend at the last minute and had to convert the 2 focus groups to 2-person group interviews.\"" - Limitations - This shows participant access issues that prevented planned in-person focus groups and reduced designers' ability to collect intended qualitative data."", ""\""The group sizes for the iterations were small, and therefore may not be adequately representative.\"" - Limitations - Small sample sizes limited designers' ability to obtain representative feedback and may have constrained iteration decisions."", ""\""We developed and tested the Fit After Baby app on an iPhone Operating System platform. This affected the demographics and economic status of the recruited participants, which may thereby affect generalizability.\"" - Limitations - Platform choice constrained participant diversity and thus affected designers' ability to gather diverse user input."", ""\""They complained that their steps were not always syncing with the Fit After Baby app.\"" - Results (Tracking and Syncing of Physical Activity) - This is a technical integration issue that impeded functionality and forced designers to change device strategy (transition to wrist Fitbit)."", ""\""In round 2, there was more variable participation, with some women engaging much less in the app.\"" - Results (Demographic, Tracking, and Online Feedback Data) - Variable engagement limited the amount and consistency of feedback available to designers for iteration.""]}",,Nicklas et al. - 2020 - Development and Modification of a Mobile Health Program to Promote Postpartum Weight Loss in Women a.txt,"Condition A: satisfied - The study documents active user involvement in co-design-like beta pilots and group interviews (A1), explicit repeated refinement across three iterative rounds with changes implemented between rounds (A2), and evidence of the full lifecycle: understanding users (group interviews/threaded discussions), ideation/design by multidisciplinary team, prototyping (beta app versions), and evaluation (beta testing and qualitative analysis) (A3).; Condition B: satisfied - The paper reports multiple designer-facing constraints: participant access and attendance problems that altered planned focus groups, small iteration group sizes, platform-driven recruitment limitations, technical syncing/integration problems with Fitbit, and variable participant engagement that limited feedback—each of which constrained designers' ability to carry out or generalize design activities.; Final rationale: Both Condition A (full HCD cycle) and Condition B (designer-experienced tasks/constraints) are clearly supported by methods, results, and limitations; therefore the study meets inclusion criteria.",Development and Modification of a Mobile Health Program to Promote Postpartum Weight Loss in Women at Elevated Risk for Cardiometabolic Disease: Single-Arm Pilot Study
"Annette Cleveland Nielsen, Sergi Rotger-Griful, Anne Marie Kanstrup, Ariane Laplante-Lévesque",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""We applied a participatory design approach to facilitate the design of future eHealth solutions via focus groups. We involved older persons with hearing impairment (n = 36), significant others (n = 10), and audiologists (n = 8)\"" - Methods/Abstract"", ""A2 Iteration: \""Through 3 rounds of focus groups, we facilitated a process progressing from insights and visions for requirements (Phase 1), to app such as paper version wireframes (Phase 2), and to digital prototypes envisioning future eHealth solutions (Phase 3).\"" - Abstract/Methods"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Phase 1: ... frame insights and visions for future eHealth-assisted client journeys\""; \""Phase 2: ... Produce design solutions: Sketch ideas from visions; Transform ideas to app like paper wireframes\""; \""Phase 3: ... More mature digital solutions; Mock-up app with appetizers; User interaction and alterations\""; and \""After phase Researchers Evaluate the mock-up app to meet user requirements\"" - Table 1 / Phases 1-3 descriptions (Methods/Phase descriptions)""], ""TASKS_elements"": [""\""Not all PHIs that participated in the first round of focus groups (Phase 1) also participated in the second round (Phase 2). Seven PHIs were excluded because they provided little input during the first round of focus groups, and six PHIs could not participate in the second round because of schedule conflicts. Thus, a total of 13 new PHIs were recruited for this second phase following the same selection criteria as in Phase 1.\"" - Phase 2 Participants - [This indicates participant access and retention issues that required the research team to recruit replacements and affected continuity between iterative rounds]"", ""\""Although including only participants from the first round of focus group would have been an advantage, we prioritized involving innovative PHIs.\"" - Phase 2 Participants - [This indicates a compromise in participant continuity that impacted the designers' ability to keep the same users through iterations]""]}",,Nielsen et al. - 2018 - User Innovated eHealth Solutions for Service Delivery to Older Persons With Hearing Impairment.txt,"Condition A: satisfied - The study reports explicit user involvement (PHIs, SOs, AUDs) in co-design activities, three clearly described iterative rounds, and evidence of all four HCD phases (understanding users, ideation, prototyping, and evaluation).; Condition B: satisfied - The methods report participant access and retention problems (exclusions and schedule conflicts) that required recruitment of replacements and affected continuity across iterations, a constraint experienced by the design team.; Final rationale: The paper documents a full human-centered design cycle with active user co-design across three iterative focus-group phases and reports designer-facing participant-access constraints that affected iteration continuity; therefore it meets both Condition A and Condition B and should be included.",User-Innovated eHealth Solutions for Service Delivery to Older Persons With Hearing Impairment
"Malini A. Nijagal, Devika Patel, Courtney Lyles, Jennifer Liao, Lara Chehab, Schyneida Williams, Amanda Sammann",High,Include,"""HCD_fullcycle"": [""A1 User Involvement: \""In the Inspiration phase we conducted semi-structured interviews with a purposeful sample of stakeholders who had either received or participated in the care of Medicaid-insured pregnant people within our community, with a specific emphasis on representation from marginalized communities.\"" - Methods (Abstract / Inspiration phase)"", ""A1 User Involvement: \""participatory design, or co-design, where healthcare users (patients) are engaged early in the process as partners in idea generation\"" - Methods (Human-centered design)"", ""A2 Iteration: \""prototypes were tested and iterated upon through a series of community events and engagement with a diverse community advisory group.\"" - Abstract / Methods (Ideation phase / Prototyping: community meetings)"", ""A2 Iteration: \""The advisory group and core research team used rating data, as well as written feedback from the community meetings, to identify the prototype features that were liked most and to iterate each design to incorporate important features.\"" - Methods (Ideation phase / Prototyping)"", ""A3 Lifecycle (Understanding/Ideation/Prototyping/Evaluation): \""Understanding: In the Inspiration phase we conducted semi-structured interviews...\""; \""Ideation: In the Ideation phase, we conducted structured brainstorming sessions to generate potential prototypes of solutions\""; \""Prototyping: 162 ideas were produced and translated into eight solution prototypes\""; \""Evaluation: Community scoring and feedback events with 140 stakeholders led to the progressive refinement and selection of three final prototypes\"" - Methods (Inspiration & Ideation phases) and Results (Ideation: results)""], ""TASKS_elements"": [""\""Limitation: decision not to audio record and therefore transcribe the interviews, leading to potential bias and incompleteness in the interview data.\"" - Limitations - [Why it shows a designer barrier: This directly affected the researchers' ability to collect complete, verifiable qualitative data and thus constrained their analysis and design activities.]"", ""\""Our ‘Inspiration’ phase had a modest sample size for qualitative inquiry and our ‘Ideation’ phase included only a few perinatally focused community-based organizations – given the limited number that exist in our city.\"" - Limitations - [Why it shows a designer barrier: Limited participant and partner availability constrained designers' ability to gather diverse input and fully test/iterate prototypes with representative community organizations.]"", ""\""This process required a significant amount of time over the course of 1 year\"" - Discussion - [Why it shows a designer barrier: Time/resource demands on the design team and stakeholders represent a resource constraint that affected the conduct and pacing of design activities and stakeholder engagement.]""]}",,Nijagal et al. - 2021 - Using human centered design to identify opportunities for reducing inequities in perinatal care.txt,"Condition A: satisfied - The study documents active user involvement (co-design, advisory group, interviews), explicit iterative refinement of prototypes across multiple community feedback events, and evidence of the full HCD lifecycle (understanding via interviews, ideation workshops, prototyping, and evaluation via scoring/feedback).; Condition B: satisfied - The paper reports multiple designer-facing constraints that affected the project (no audio recordings affecting data completeness, modest sample size and few CBO partners limiting input, and substantial time required to engage leaders), which are direct barriers experienced by the design team.; Final rationale: The paper meets the inclusion criteria by reporting an HCD process with active user involvement, documented iteration, and evidence of all lifecycle phases, and it also describes concrete constraints encountered by the designers during the project; therefore it should be included.",Using human centered design to identify opportunities for reducing inequities in perinatal care
