source_json_file,source_text_file,barrier_id,actor,barrier_type,description,justification,reference_excerpt,certainty,note
Addamiano_2024_increasing-access-fertility-preservation.json,Addamiano_2024_increasing-access-fertility-preservation.txt,1,designer,knowledge,"Existing informational brochures had not been previously evaluated and lacked prior feedback from patients and healthcare professionals, leaving gaps in designers' evidence about acceptability and usability.","This knowledge gap limits the designers' ability to manage user understanding, specify user requirements, and to plan effective evaluation and iteration of the materials before wider implementation.","The effectiveness of the brochures created so far has not been tested, and there is no hindsight or feedback from patients or healthcare professionals regarding their acceptability, usability and usefulness.",certain,
Addamiano_2024_increasing-access-fertility-preservation.json,Addamiano_2024_increasing-access-fertility-preservation.txt,2,designer,resource,"Regional variation in the number of cancer centers creates the need for specific regional coordination for data collection, adding logistical complexity for the research team.","This operational constraint hampers designers' ability to understand context of use and to facilitate consistent participant recruitment and data collection across sites, which can impede evaluation and iteration workloads.","The number of cancers centers varies by region, requiring specific regional coordination for data collection.",certain,
Amirabdollahian_2014_development-deployment-hand-wrist-exoske.json,Amirabdollahian_2014_development-deployment-hand-wrist-exoske.txt,1,designer,resource,"The bending (flex) sensors used on the leaf springs could not provide accurate absolute angle measurements and could only resolve large angle deviations (~20°), limiting precise motion sensing.",Limited sensor fidelity constrained the team's ability to accurately measure fine finger joint rotations and therefore impeded understanding of real movement context and reliable evaluation of gesture-based interactions during design iterations.,"The integrated bending sensors in the leaf springs at the ﬁngers are good enough to differentiate between different grasps,36 and can detect small changes of motion, but are only able to resolve between large absolute angle deviations of roughly 20 degrees.37 These limitation are caused not by the mechanism itself, but by the type of bending sensor used: the ﬂexible resistance-based sensors suffer from natural decay in step response that makes it hard to get accurate absolute values from the sensors.",certain,
Amirabdollahian_2014_development-deployment-hand-wrist-exoske.json,Amirabdollahian_2014_development-deployment-hand-wrist-exoske.txt,2,designer,resource,"The passive-actuated orthosis design could not automatically regulate physical assistance, so the system could not implement true 'assist-as-needed' adaptive support.","This hardware constraint forced designers to adopt a software workaround (modulating game speed) rather than implement automatic assistance, limiting their ability to realize therapeutic interaction requirements and to prototype the intended adaptive assistance functionality.","However, the passive device does not allow any automatic regulation of the physical support provided, which is set by the therapist. Hence, the THRI further modulates the task difﬁculty using the speed of the game to prolong interaction time.",certain,
Amirabdollahian_2014_development-deployment-hand-wrist-exoske.json,Amirabdollahian_2014_development-deployment-hand-wrist-exoske.txt,3,interaction,resource,High inter-individual variability in motor symptoms among stroke survivors made gesture recognition and calibration challenging.,"User heterogeneity constrained the researchers' ability to generalise gesture recognition models and complicated calibration and evaluation workflows, hindering management of user understanding and reliable evaluation across diverse users.","One of the major challenges in performing gesture recognition with stroke survivors is the inter-individual variability in motor symptoms. For instance, while normative data about range of motion (ROM) for the upper limb joints is available for healthy subjects,39,40 each patient constitutes a per se case.",certain,
Amirabdollahian_2014_development-deployment-hand-wrist-exoske.json,Amirabdollahian_2014_development-deployment-hand-wrist-exoske.txt,4,interaction,resource,"The calibration procedure did not succeed in all attempts (only ~85–88% success), and calibration durations varied substantially across movements.",Incomplete and time-varying calibration reduced the reliability of gesture detection and therefore limited formative and summative evaluation activities as well as iterative refinement of the THRI and UI based on consistent measurement.,"In a preliminary analysis of the data from seven subjects, we showed that such a procedure was effective in 85% of the attempts (1044 out of 1229 tests) with durations differing across movements of up to 30 s for hand opening.42 ... In total, the calibration procedure has been successful in 88% of the attempts (3791 out of 4298).",certain,
Amirabdollahian_2014_development-deployment-hand-wrist-exoske.json,Amirabdollahian_2014_development-deployment-hand-wrist-exoske.txt,5,interaction,resource,Participant dropouts occurred because users were unable to work with the system due to technical problems or loss of desire to continue.,"These dropouts directly impeded the researchers' ability to conduct summative evaluation and gather sufficient user data, constraining evaluation workloads and user involvement activities.","Among the ﬁrst 12 patients were two dropouts, because of their inability to work with the SCRIPT system due to technical problems, or no desire to work with the SCRIPT system anymore.",certain,
Amos-Lawson_2017_portable-fire-extinguisher.json,Amos-Lawson_2017_portable-fire-extinguisher.txt,1,designer,resource,"Ethical and safety constraints prevented direct testing in real emergency conditions, forcing reliance on theoretical, expert-advice, and controlled simulations.","These constraints limited the team's ability to study real user behaviour under stress, conduct realistic evaluations, and thus manage evolving user understanding and evaluate designs in true contexts of use.","However, when considering the design process for a fire extinguisher, the ethical tenet of safety of research participants had to be at the forefront of the chosen methodology. Therefore, the adopted research methods listed next emphasize theoretical research, advice from professionals, and controlled environments during practical research. In conclusion, this project highlights the importance of a user-centered design process when designing equipment to be used in emergency situations, even though the ethics surrounding fire and fire studies make it difficult to do direct testing and research activities.",certain,
Amos-Lawson_2017_portable-fire-extinguisher.json,Amos-Lawson_2017_portable-fire-extinguisher.txt,2,designer,resource,"The work remained at concept stage without a functioning prototype, preventing rigorous testing, usability trials, and empirical validation of performance parameters.","Lack of a physical prototype constrained the designers' ability to evaluate designs with users, iterate based on observed usability issues, and specify validated requirements (e.g., weight and activation force) for the target demographics.","The next stage in the design process would be to produce a functioning prototype, which would enable further testing and evaluation to confirm that the design is a viable improvement. As the proposed design reached only the concept stage, weight was not calculated, but the initial product evaluation conducted for the redesign indicated a total weight of 2 kg (when full).",certain,
Amos-Lawson_2017_portable-fire-extinguisher.json,Amos-Lawson_2017_portable-fire-extinguisher.txt,3,designer,resource,"Observed maintenance processes and records existed for public buildings but not for private residential dwellings, limiting empirical insight into home-maintenance behaviours.","This contextual/data gap hindered the designers' ability to fully understand the private use and maintenance context of extinguishers, affecting the 'understand context of use' workload and the specification of realistic maintenance-related requirements.","The maintenance checks were thorough, and the records for extinguishers in public environments were extensive. No comparable process exists in private residential dwellings.",certain,
